Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum
140821364,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,294,0.000021,0,9648
csu,,,13,0,13,13,0,13,0,0,0,0,0.000229,0,294,0.000152,0,1444
16361044,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,294,0.000021,0,9649
268550139,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,294,0.000021,0,9650
2800634622,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,294,0.000021,0,9651
2815717661,,,0,4,4,0,4,4,1,1,1,0,0,0.000072,294,0.000021,0,9652
3053510678,,,0,3,3,0,3,3,1,1,1,0,0,0.000006,294,0.000021,0,9653
704024372940513280,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,294,0.000021,0,9654
721325677971156994,,,0,7,7,0,8,8,1,1,1,0,0,0.010344,17,0.000021,0,9655
825044233212018689,,,0,5,5,0,6,6,1,1,1,0,0,0.000138,294,0.000021,0,9656
862714254,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,294,0.000021,0,9657
901860816009482240,,,0,3,3,0,3,3,1,1,1,0,0,0.000006,294,0.000021,0,9658
